Meal,Ingredients,Recipe,Image
Spicy Salmon + Roasted Brussels,"Salmon, brown sugar, cayenne, Brussels sprouts",www.shrimp6spicysalmon.com/recipie,https://madaboutfood.co/wp-content/uploads/2019/11/2021-08-02-16.41.46-768x1024.jpg
Avocados Pesto Turkey Melts,"Bread, pesto, sliced deli turkey, tomato, Avocados, spinach, Swiss sliced cheese",www.shrimp34avopestomelt.com/recipie,https://thestarvingchefblog.com/wp-content/uploads/2022/04/panini-turkey-melt.jpg
Seasoned Aldi Chicken + Greek Smashed Potatoes,"Aldi spiced chicken breast, baby potatoes, olive oil, Greek yogurt, lemon, garlic, cucumber, feta, olives, red onion",www.shrimp36aldichickj.com/recipie,https://hips.hearstapps.com/hmg-prod/images/greek-lemon-butter-chicken-and-smashed-potatoes-secondary-651c26dc1e5e5.jpg
Roasted Pork Shoulder + Mashed Potatoes + Roasted Carrots,"Aldi pork shoulder, potatoes, carrots, sour cream, half and half, butter",www.shrimp37porkshoulder.com/recipie,https://cooklikeczechs.com/wp-content/uploads/2021/08/roasted-pork-shoulder-recipe.jpg
